"Source:","/Users/marisolmolina/Desktop/mmolina-clock/Gitclock/Gitclock.kicad_sch"
"Date:","Thursday, July 07, 2022 at 09:31:59 AM"
"Tool:","Eeschema (6.0.5-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","45"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Dielectric","Digikey PN","MFG","MPN","Mouser PN","Power","Tolerance","Voltage","automotive","category","device class L1","device class L2","device class L3","digikey description","digikey part number","display type","element config","forward current","forward voltage","height","lead free","library id","luminous intensity","manufacturer","mouser description","mouser part number","package","power dissipation","reverse voltage","rohs","temperature range high","temperature range low","test current"
"","","BT1","Battery_Cell","HPS:Battery_Cell","footprints:BatteryHolder_Keystone_106_1x20mm","https://media.digikey.com/pdf/Data%20Sheets/Memory%20Protection%20PDFs/Coin_Cell_Guide.pdf","","BS-7-ND","MPD (Memory Protection Devices)","BS-7","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","BZ1","Buzzer","HPS:Buzzer","footprints:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","https://product.tdk.com/info/en/catalog/datasheets/piezoelectronic_buzzer_ps_en.pdf?ref_disty=digikey","","445-2526-1-ND","TDK","PS1420P02CT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C1","C_0805_0.1uf","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C2","C_0805_0.1uf","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C3","C_0805_0.1uf","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C4","C_0805_22pf","HPS:C_0805_22pf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf","N/A","311-1103-1-ND","Yageo","CC0805JRNPO9BN220","N/A","","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C5","C_0805_22pf","HPS:C_0805_22pf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf","N/A","311-1103-1-ND","Yageo","CC0805JRNPO9BN220","N/A","","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C6","C_0805_1uf","HPS:C_0805_1uf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","N/A","311-1456-1-ND","Yageo","CC0805KKX7R8BB105","N/A","","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","C7","C_0805_0.1uf","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","D1","LED_0805","HPS:LED_0805","footprints:LED_0805_2012Metric","https://www.we-online.de/katalog/datasheet/150080RS75000.pdf","","732-4984-1-ND","Würth Elektronik","150080RS75000","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DS1","LED_Display_1001","HPS:LED_Display_1001","footprints:Adafruit-1001-0-0-MFG","https://cdn-shop.adafruit.com/datasheets/1001datasheet.pdf","","1528-1513-ND","Adafruit Industries LLC","1001","N/A","","","","No","Disp","Optoelectronics","Displays","LED Displays","WHITE 7-SEGMENT CLOCK DISPLAY","1528-1513-ND","LED","Common Cathode","20mA","3.2V","8.25mm","Yes","a002f1a2b35db532","30mcd","Adafruit","Adafruit Accessories White 7-segment Clock Display","485-1001","PTH_50MM2_19MM0","100mW","5V","Yes","+80°C","-40°C","20mA"
"","","DS2","TC1602A-01T","HPS:TC1602A-01T","footprints:TC1602A-01T","https://cdn-shop.adafruit.com/datasheets/TC1602A-01T.pdf","","1528-2212-ND","Adafruit","1447","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","H1","MountingHole","HPS:MountingHole","footprints:MountingHole_3.2mm_M3","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","H2","MountingHole","HPS:MountingHole","footprints:MountingHole_3.2mm_M3","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","H3","MountingHole","HPS:MountingHole","footprints:MountingHole_3.2mm_M3","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","H4","MountingHole","HPS:MountingHole","footprints:MountingHole_3.2mm_M3","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","J1","PJ-102AH","HPS:PJ-102AH","footprints:PJ-102AH","https://www.cuidevices.com/product/resource/pj-102ah.pdf","","CP-102AH-ND","CUI Devices","PJ-102AH","490-PJ-102AH","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","J2","Conn_01x06","HPS:Conn_01x06","footprints:PinHeader_1x06_P2.54mm_Vertical","https://www.we-online.de/katalog/datasheet/6130xx11121.pdf","","732-5319-ND","Würth Elektronik","61300611121","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","J3","Conn_01x05","HPS:Conn_01x05","footprints:PinHeader_1x05_P2.54mm_Vertical","https://www.we-online.de/katalog/datasheet/6130xx11121.pdf","","732-5318-ND","Würth Elektronik","61300511121","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R1","R_0805_2.2K","HPS:R_0805_2.2K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-072K2L/727676","","311-2.20KCRCT-ND","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R2","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R3","R_0805_47","HPS:R_0805_47","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747RL/727972","","RC0805FR-0747RL ","Yageo","RC0805FR-0747RL ","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R4","R_0805_47","HPS:R_0805_47","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747RL/727972","","RC0805FR-0747RL ","Yageo","RC0805FR-0747RL ","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R5","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R6","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R7","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R8","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R9","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R10","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R11","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R12","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R13","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","RV1","R_POT_10K","HPS:R_POT_10K","footprints:Potentiometer_Bourns_3386P_Vertical","https://www.bourns.com/docs/Product-Datasheets/3386.pdf","","3386P-103TLF-ND","Bourns Inc.","3386P-1-103TLF","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","RV2","R_POT_10K","HPS:R_POT_10K","footprints:Potentiometer_Bourns_3386P_Vertical","https://www.bourns.com/docs/Product-Datasheets/3386.pdf","","3386P-103TLF-ND","Bourns Inc.","3386P-1-103TLF","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","SW1","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","SW3","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","SW4","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","SW5","RotaryEncoder_Switch","HPS:RotaryEncoder_Switch","footprints:RotaryEncoder_TT_EN11-Switch_Vertical_H20mm_CircularMountingHoles","~","","987-1398-ND ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","U1","ATmega328-PU","HPS:ATmega328-PU","footprints:DIP-28_W7.62mm","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en608326","","ED3050-5-ND","On Shore Technology Inc.","ED281DT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","U2","L7805","HPS:L7805","","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","U3","MAX7219","HPS:MAX7219","footprints:DIP-24_W7.62mm","https://datasheets.maximintegrated.com/en/ds/MAX7219-MAX7221.pdf","","ED3049-5-ND","On Shore Technology Inc.","ED241DT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","U4","DS1307_DIP-8","HPS:DS1307_DIP-8","footprints:DIP-8_W7.62mm","https://datasheets.maximintegrated.com/en/ds/DS1307.pdf","","AE9986-ND","Assmann WSW Components","A 08-LC-TT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","U5","ULN2003A","HPS:ULN2003A","footprints:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/uln2003a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Y1","Crystal_16MHz","HPS:Crystal_16MHz","footprints:Crystal_SMD_HC49-SD","https://ecsxtal.com/store/pdf/csm-7x-dn.pdf","","XC1299CT-ND","ECS Inc.","ECS-160-20-5PXDN-TR","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Y2","Crystal_32768Hz","HPS:Crystal_32768Hz","footprints:Crystal_SMD_2Pin_3.2x1.5mm","https://www.jauch.com/downloadfile/57fde22d50dbf_d3c203011c87952f2834/jtx310-auto-2-210512.pdf","","1908-1314-1-ND","Jauch Quartz","Q 0,032768-JTX310-12,5-20-T1-HMR-50K-LF","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Dielectric","Digikey PN","MFG","MPN","Mouser PN","Power","Tolerance","Voltage","automotive","category","device class L1","device class L2","device class L3","digikey description","digikey part number","display type","element config","forward current","forward voltage","height","lead free","library id","luminous intensity","manufacturer","mouser description","mouser part number","package","power dissipation","reverse voltage","rohs","temperature range high","temperature range low","test current"
"1","1","BT1","Battery_Cell","HPS:Battery_Cell","footprints:BatteryHolder_Keystone_106_1x20mm","https://media.digikey.com/pdf/Data%20Sheets/Memory%20Protection%20PDFs/Coin_Cell_Guide.pdf","","BS-7-ND","MPD (Memory Protection Devices)","BS-7","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1","BZ1","Buzzer","HPS:Buzzer","footprints:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","https://product.tdk.com/info/en/catalog/datasheets/piezoelectronic_buzzer_ps_en.pdf?ref_disty=digikey","","445-2526-1-ND","TDK","PS1420P02CT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","4","C1, C2, C3, C7","C_0805_0.1uf","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","2","C4, C5","C_0805_22pf","HPS:C_0805_22pf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf","N/A","311-1103-1-ND","Yageo","CC0805JRNPO9BN220","N/A","","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","1","C6","C_0805_1uf","HPS:C_0805_1uf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","N/A","311-1456-1-ND","Yageo","CC0805KKX7R8BB105","N/A","","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1","D1","LED_0805","HPS:LED_0805","footprints:LED_0805_2012Metric","https://www.we-online.de/katalog/datasheet/150080RS75000.pdf","","732-4984-1-ND","Würth Elektronik","150080RS75000","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1","DS1","LED_Display_1001","HPS:LED_Display_1001","footprints:Adafruit-1001-0-0-MFG","https://cdn-shop.adafruit.com/datasheets/1001datasheet.pdf","","1528-1513-ND","Adafruit Industries LLC","1001","N/A","","","","No","Disp","Optoelectronics","Displays","LED Displays","WHITE 7-SEGMENT CLOCK DISPLAY","1528-1513-ND","LED","Common Cathode","20mA","3.2V","8.25mm","Yes","a002f1a2b35db532","30mcd","Adafruit","Adafruit Accessories White 7-segment Clock Display","485-1001","PTH_50MM2_19MM0","100mW","5V","Yes","+80°C","-40°C","20mA"
"8","1","DS2","TC1602A-01T","HPS:TC1602A-01T","footprints:TC1602A-01T","https://cdn-shop.adafruit.com/datasheets/TC1602A-01T.pdf","","1528-2212-ND","Adafruit","1447","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","4","H1, H2, H3, H4","MountingHole","HPS:MountingHole","footprints:MountingHole_3.2mm_M3","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","1","J1","PJ-102AH","HPS:PJ-102AH","footprints:PJ-102AH","https://www.cuidevices.com/product/resource/pj-102ah.pdf","","CP-102AH-ND","CUI Devices","PJ-102AH","490-PJ-102AH","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","1","J2","Conn_01x06","HPS:Conn_01x06","footprints:PinHeader_1x06_P2.54mm_Vertical","https://www.we-online.de/katalog/datasheet/6130xx11121.pdf","","732-5319-ND","Würth Elektronik","61300611121","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1","J3","Conn_01x05","HPS:Conn_01x05","footprints:PinHeader_1x05_P2.54mm_Vertical","https://www.we-online.de/katalog/datasheet/6130xx11121.pdf","","732-5318-ND","Würth Elektronik","61300511121","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","1","R1","R_0805_2.2K","HPS:R_0805_2.2K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-072K2L/727676","","311-2.20KCRCT-ND","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","10","R2, R5, R6, R7, R8, R9, R10, R11, R12, R13","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","2","R3, R4","R_0805_47","HPS:R_0805_47","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747RL/727972","","RC0805FR-0747RL ","Yageo","RC0805FR-0747RL ","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","2","RV1, RV2","R_POT_10K","HPS:R_POT_10K","footprints:Potentiometer_Bourns_3386P_Vertical","https://www.bourns.com/docs/Product-Datasheets/3386.pdf","","3386P-103TLF-ND","Bourns Inc.","3386P-1-103TLF","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","3","SW1, SW3, SW4","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","1","SW5","RotaryEncoder_Switch","HPS:RotaryEncoder_Switch","footprints:RotaryEncoder_TT_EN11-Switch_Vertical_H20mm_CircularMountingHoles","~","","987-1398-ND ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","1","U1","ATmega328-PU","HPS:ATmega328-PU","footprints:DIP-28_W7.62mm","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en608326","","ED3050-5-ND","On Shore Technology Inc.","ED281DT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1","U2","L7805","HPS:L7805","","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","1","U3","MAX7219","HPS:MAX7219","footprints:DIP-24_W7.62mm","https://datasheets.maximintegrated.com/en/ds/MAX7219-MAX7221.pdf","","ED3049-5-ND","On Shore Technology Inc.","ED241DT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","1","U4","DS1307_DIP-8","HPS:DS1307_DIP-8","footprints:DIP-8_W7.62mm","https://datasheets.maximintegrated.com/en/ds/DS1307.pdf","","AE9986-ND","Assmann WSW Components","A 08-LC-TT","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","1","U5","ULN2003A","HPS:ULN2003A","footprints:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/uln2003a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","1","Y1","Crystal_16MHz","HPS:Crystal_16MHz","footprints:Crystal_SMD_HC49-SD","https://ecsxtal.com/store/pdf/csm-7x-dn.pdf","","XC1299CT-ND","ECS Inc.","ECS-160-20-5PXDN-TR","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","1","Y2","Crystal_32768Hz","HPS:Crystal_32768Hz","footprints:Crystal_SMD_2Pin_3.2x1.5mm","https://www.jauch.com/downloadfile/57fde22d50dbf_d3c203011c87952f2834/jtx310-auto-2-210512.pdf","","1908-1314-1-ND","Jauch Quartz","Q 0,032768-JTX310-12,5-20-T1-HMR-50K-LF","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
